Visible Positivo	Invisible positivo	Otros	Visible negativo	Invisible negativo
[Visible +]	[Invisible +]	[???]	[Visible -]	[Invisible -]
alta	VERDADERO	abandonado	baja	FALSO
alto	abierta	absoluta	bajo	aburrido
altos	accesible	absoluto	bajos	afectada
atractiva	aceptado	abundante	corta	afectado
atractivo	acertado	académico	corto	agresiva
bella	activa	aceptable	enferma	agresivo
bello	activo	actual	femenino	ajena
blanca	activos	acusada	gorda	anormal
blanco	adecuada	adoptada	gordo	arriesgado
bonita	adecuado	adultos	lenta	arrogante
bonito	admirable	aficionado	lento	aterrador
brillante	agradable	alemán	lesionado	ausente
británica	agradecido	alemana	masculina	básica
divina	alegre	alternativa	redonda	básico
divino	amable	amarilla	seco	callado
elegante	amistoso	ambiental	sucio	cansada
enorme	amoroso	amenazada		complicada
femenina	apasionada	americana		complicado
fina	aplicado	americano		condenada
fuerte	apropiada	amigas		confuso
fuertes	apropiado	amplia		corrupta
grande	apto	amplio		corrupto
grandes	atenta	antigua		costosa
guapa	atento	antiguo		costoso
guapo	auténtica	antiguos		criminal
hermosa	auténtico	aprobada		cruel
hermoso	autónoma	aprobado		culpable
larga	avanzada	árabe		débil
largo	buena	argentina		deficiente
masculino	buenas	argentino		dependiente
mona	bueno	asesinado		desagradable
pequeña	buenos	autónomo		desconocido
pequeño	capacitado	azul		desesperada
rubia	capaz	barata		detenida
rubio	cariñoso	barato		detenido
sexy	cercano	biológica		difícil
	civil	biológico		difíciles
	clara	brasileña		dominante
	claro	breve		dramática
	coherente	británico		dura
	competente	buen		duro
	completa	caballero		enemigo
	completo	caliente		equivocada
	comprometida	callada		equivocado
	concentrado	cantante		escasa
	conocida	caro		espantoso
	conocido	casada		estricta
	considerada	catalán		estúpido
	considerado	catalana		excesiva
	constante	céntrica		excesivo
	contento	cercana		exigente
	conveniente	cerrado		explosiva
	correcta	china		extraña
	correcto	chino		extraño
	cualificada	ciega		extraños
	cualificado	ciego		extrema
	cultural	científica		falsa
	curiosa	científico		feroz
	curioso	cierta		firme
	dedicada	cierto		flojo
	determinado	clásica		frágil
	diferente	clásico		fría
	directa	colombiana		frío
	disponible	comercial		genérico
	distinta	cómoda		horrible
	distinto	cómodo		ilegal
	divertida	competitiva		implacable
	divertido	competitivo		imposible
	económica	compleja		incómoda
	económico	complejo		inestable
	educativo	común		infantil
	efectivo	comunista		inferior
	eficaz	confidencial		injusta
	eficiente	conforme		injusto
	emocionante	conjunto		inmortal
	encantador	consciente		insoportable
	entusiasta	conservador		intensa
	equilibrada	conservadora		intenso
	equilibrado	contrario		inútil
	esencial	contratado		invisible
	especial	convencida		irregular
	espectacular	convencido		limitada
	esperada	corriente		limitado
	esperado	creativa		loca
	espontánea	creativo		loco
	estable	cristiana		locos
	excelente	cristiano		mala
	excepcional	crítica		malas
	exitosa	críticas		malo
	exitoso	crítico		malos
	experimentado	críticos		mediocre
	extraordinaria	cubana		molesto
	fácil	cubierta		negativa
	familiar	cuidado		negativo
	famosa	danesa		nerviosa
	famoso	decente		nervioso
	fantástico	definido		nulo
	felices	definitivo		ofensivo
	feliz	delicada		orgullosa
	fiable	derecha		orgulloso
	fiel	derecho		oscura
	flexible	desaparecida		particular
	formado	desnudo		peligrosa
	formal	destruida		peligroso
	fresco	destruido		peor
	funcional	dicha		perdedor
	fundamental	diferentes		perdida
	ganadora	digital		perdido
	generosa	disminuido		perjudicial
	generoso	diversa		pesada
	genial	diverso		pesimista
	gentil	doble		pobre
	hábil	doméstica		pobres
	honesto	dudoso		polémica
	humilde	ebrio		preocupada
	ideal	educado		preocupado
	idóneo	educativa		problemática
	imparcial	efectiva		racista
	impecable	ejemplar		radical
	importante	eléctrica		rara
	importantes	eléctrico		raro
	imprescindible	electrónica		rechazada
	impresionante	electrónico		retrasado
	increíble	elegida		salvaje
	independiente	elegido		seria
	indicada	elemental		serio
	indicado	elevada		severa
	indispensable	elevado		severo
	inocente	eliminado		sospechosa
	inteligente	emocionada		terrible
	interesante	enamorado		tonta
	justa	encontrada		tonto
	justo	entera		torpe
	leal	entero		triste
	legal	entregada		violenta
	legítimo	escolar		violento
	liberal	escrito		violento
	libre	español		vulgar
	lindo	española		indiferente
	lista	españoles		
	listo	espiritual		
	madura	estadounidense		
	maduro	este		
	maravilloso	estéril		
	mejor	eterna		
	misterioso	eterno		
	modesta	evidente		
	natural	exacto		
	necesaria	experto		
	necesario	extranjera		
	noble	extranjero		
	objetivo	factible		
	optimista	fallecido		
	original	famosos		
	paciente	farmacéutico		
	pacífica	favorable		
	participante	favorito		
	perfecto	fijo		
	persistente	finalista		
	personal	fino		
	plural	física		
	poderosa	físico		
	poderoso	francés		
	popular	francesa		
	populares	frecuente		
	positiva	futuro		
	positivo	general		
	práctico	global		
	precisa	gran		
	preciso	gratuita		
	preparada	grave		
	preparado	gris		
	prestigiosa	habitual		
	productivo	herido		
	profesional	hindú		
	profundo	hispanos		
	puntual	histórica		
	pura	holandesa		
	puro	homosexual		
	querido	humana		
	rápida	humano		
	rápido	humanos		
	razonable	idéntico		
	realizada	identificado		
	realizado	ignorado		
	recomendable	igual		
	relevante	ilusionado		
	resistente	improbable		
	respetuoso	incapaz		
	responsable	incondicional		
	responsables	independentista		
	revolucionario	individual		
	rica	influyente		
	rico	informático		
	romántica	inglés		
	romántico	inglesa		
	sabio	iniciado		
	saludable	insuficiente		
	sana	internacional		
	sano	investigador		
	satisfactorio	investigadora		
	segura	invitado		
	seguro	italiana		
	sencilla	italiano		
	sencillo	japonés		
	sensible	japonesa		
	simpática	joven		
	sincera	jóvenes		
	tierno	jubilado		
	tímida	judía		
	tímido	jurídica		
	trabajadora	libres		
	tranquila	licenciada		
	tranquilo	ligera		
	transparente	ligero		
	única	limpia		
	único	llamado		
	útil	local		
	válido	maestra		
	valiente	marcado		
	valioso	mayor		
	valioso	mecánico		
	valorada	media		
	verdadera	médica		
		médico		
		medio		
		mejores		
		menor		
		mental		
		mexicana		
		mexicano		
		militar		
		minero		
		mínima		
		mínimo		
		mismo		
		mixta		
		mixto		
		moderado		
		moderna		
		moderno		
		moral		
		mortal		
		motivada		
		motivado		
		móvil		
		móviles		
		muda		
		muerta		
		muerto		
		mundial		
		musical		
		musulmán		
		nacional		
		negra		
		negro		
		neutral		
		normal		
		norteamericana		
		norteamericano		
		noruego		
		notable		
		nueva		
		nuevo		
		nuevos		
		obligado		
		obligatorio		
		ocupada		
		ocupado		
		oficial		
		olvidado		
		oportuna		
		oportuno		
		opuesto		
		ordenado		
		oscuro		
		parcial		
		parecida		
		parecido		
		pariente		
		pasada		
		peculiar		
		pequeños		
		permanente		
		pesado		
		pintada		
		polaca		
		polaco		
		policial		
		política		
		político		
		portugués		
		portuguesa		
		posible		
		potente		
		práctica		
		presente		
